"","","","","","","","","","Apr-19","May-19","Jun-19","Jul-19","Aug-19","Sep-19","Oct-19","Nov-19","Dec-19","Jan-20","Feb-20","Mar-20","Apr-20","May-20","Jun-20","Jul-20","Aug-20","Sep-20","Oct-20","Nov-20","Dec-20","Jan-21","Feb-21","Mar-21"
"No. Exámen","No. Expediente interno","No. Recomendación","Subdirección responsable","Estado","Etapa","Duración","Mes inicio","Hoja de ruta","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24"
"DAI-AI-0214-2017","A-2017-23","1","DNTI-SDNSI   DNRI","En proceso de aplicación","En evaluación","14","M1","A-2017-23-1","I","","H1","","","H2","","H3","","","","","","C","","","","","","","","","",""
"DAI-AI-0214-2017","A-2017-23","1","DNTI-SDNIT-SDNSI ","En proceso de aplicación","En evaluación","20","M1","A-2017-23-10","I","","","H1","","","","","","","","","","","","","","","H2","C","","","",""
"","","","DNTI-SDNIT-SDNSI ","En proceso de aplicación","En evaluación","11","M2","A-2019-02 -19.9","","I","H1","H2","","","","","H3","","","C","","","","","","","","","","","",""
"","","","DNTI-SDNSI  DGSIF","En proceso de aplicación","En evaluación","16","M1","INSS-DASS1-2014-0208-28","I","H1","","","","H2","","","","","","","","","","C","","","","","","","",""
"","","","","En proceso de aplicación","En evaluación","20","M1","S-2016-01-3.10","I","H1","","","","","","","","","","","","","H2","","","","","","","H2","","C"
"","","","","En proceso de aplicación","En evaluación","24","M1","S-2016-01-3.5","I","","H1","","","H2","","H3","","","","","","","","","","","","","","","","C"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
