"","","","","","","","","",""
"","","","","","","","","",""
"","","","","PLANIFICACION","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"No. Proyecto","GN-2026","","","06-abr-26","07-abr-26","08-abr-26","09-abr-26","10-abr-26",""
"Módulo / Épico","EP-1 Autenticación + EP-2 Gestión de Usuarios","","","Macro actividades","D1","D2","D3","D4","D5"
"Sprint No.","Sprint 1 — Fundación del Sistema","","","Configuración inicial del proyecto (BD + API + estructura Next.js)","I","H1","","",""
"Responsable","Luis Cueva","","","Módulo Autenticación — Login con JWT (backend)","","","H2","",""
"Estado","Completado","","","Módulo Autenticación — Frontend: login y redirección por rol","","","","H3",""
"Etapa","Desarrollo","","","Módulo Usuarios — CRUD completo (backend + frontend + validaciones)","","","","","C"
"Duración","5 días","","","","","","","",""
"Día inicio","06-abr-2026","","","","","","","",""
"","","","","","","","","",""
